Name,Mid X,Mid Y,Layer,Rotation
D1,487.92,506.8,Top,270
D2,487.9,501.1,Top,270
D3,507.5,496.5,Top,0
D8,480.6,492.8,Top,270
D9,480.6,487.3,Top,270
CONN2,509.55,534.3,Top,270
Y1,457.6,510.3,Top,180
CONN1,438.88,531.9,Top,90
IC1,459.3,522.6,Top,90
C1,437.4,519,Top,270
C2,436.1,485.6,Top,270
C3,443.4,485.7,Top,90
C5,460.1,504.7,Top,0
C17,483.7,487.3,Top,0
C18,455.7,504.6,Top,0
C19,503.1,505.7,Top,90
C22,452.4,531.8,Top,270
C24,507.5,524.5,Top,270
C4,454.7,496.4,Top,180
C7,456.3,482.5,Top,90
C10,481.2,511.7,Top,90
C11,463.8,502.1,Top,0
C12,467.7,518.1,Top,180
C13,469.6,500.4,Top,0
C14,474.1,500.4,Top,0
C16,484.2,523.7,Top,90
C20,494.6,480,Top,90
C23,460.3,515.9,Top,270
LED1,445.1,508.5,Top,270
LED2,439.6,508.5,Top,270
TR1,499,499.7,Top,0
TR2,492.2,533.6,Top,0
TR3,484,533.6,Top,0
TR4,475.6,533.6,Top,0
CONN3,529.4,500.5,Top,270
IC6,512.6,482.2,Top,90
IC7,512.6,471.1,Top,90
R1,436.2,492,Top,0
R2,436.1,488.9,Top,0
R3,445,511.7,Top,0
R4,443,492,Top,0
R5,443.1,488.9,Top,180
R6,492.8,504.6,Top,0
R7,493.5,500.6,Top,180
R8,503.38,499.7,Top,0
R9,507.2,500,Top,180
R10,466.8,527,Top,270
R11,500.9,512,Top,0
R12,502.8,509.4,Top,0
R13,505,512,Top,0
R14,486.2,511.8,Top,0
R15,477.7,523.8,Top,0
R16,439.6,511.7,Top,0
R17,472.9,493.9,Top,0
R18,512.5,527.1,Top,0
R19,459.4,538.3,Top,0
R20,475.4,528.7,Top,0
R21,483.8,528.7,Top,0
R22,492.2,528.7,Top,0
R23,492.4,538.6,Top,0
R24,486.9,491.1,Top,0
R25,487.1,487.8,Top,0
R26,484.1,538.6,Top,0
R27,490.9,491.2,Top,0
R28,491.1,487.8,Top,0
IC5,459.62,533.23,Top,0
SJ1,515.9,504.7,Top,0
SJ2,512.6,503.7,Top,0
SJ3,517.5,511.3,Top,0
SJ4,520.6,511.2,Top,0
D4,483.9,468.8,Top,0
D5,504.9,473.4,Top,270
J1,482,519.31,Top,180
IC2,471.3,509.1,Top,0
L2,470.4,473.7,Top,90
C6,449.7,516.9,Top,0
C8,456.8,478,Top,0
C9,456.8,472.9,Top,0
IC8,500.18,525.87,Top,180
C21,495.8,470.3,Top,270
L1,441.6,519,Top,180
IC4,484.02,477.53,Top,0
